1,3,2,2,3,1,1
1,3,3,2,3,1,1
1,3,4,2,3,1,1
1,3,5,2,3,1,1
1,3,6,2,3,1,1
1,3,8,2,3,1,1
1,3,9,2,3,1,1
1,3,10,2,3,1,1
1,3,11,2,3,1,1
1,3,19,2,3,1,1
1,3,20,2,3,1,1
1,3,21,2,3,1,1
1,3,23,2,3,1,1
1,3,24,2,3,1,1
1,3,25,2,3,1,1
1,3,27,2,3,1,1
1,3,28,2,3,1,1
1,3,31,2,3,1,1
1,3,33,3,3,1,1
1,3,34,2,3,1,1
1,3,35,2,3,1,1
1,3,39,2,3,1,1
1,3,40,2,3,1,1
1,3,41,2,3,1,1
1,3,48,2,3,1,1
1,3,57,2,3,1,1
1,3,60,2,3,1,1
1,3,61,2,3,1,1
1,3,64,2,3,1,1
1,3,65,2,3,1,1
1,3,66,2,3,1,1
1,3,81,2,3,1,1
1,3,89,2,3,1,1
1,3,91,2,3,1,1
1,3,104,3,3,1,1
1,3,106,2,3,1,1
1,3,107,2,3,1,1
1,3,108,2,3,1,1
2,3,1,2,3,1,1
2,3,3,2,3,1,1
2,3,4,2,3,1,1
2,3,5,2,3,1,1
2,3,6,2,3,1,1
2,3,8,2,3,1,1
2,3,9,2,3,1,1
2,3,10,2,3,1,1
2,3,11,2,3,1,1
2,3,19,2,3,1,1
2,3,20,2,3,1,1
2,3,21,2,3,1,1
2,3,23,2,3,1,1
2,3,24,2,3,1,1
2,3,25,2,3,1,1
2,3,27,2,3,1,1
2,3,28,2,3,1,1
2,3,31,2,3,1,1
2,3,33,3,3,1,1
2,3,34,2,3,1,1
2,3,35,2,3,1,1
2,3,39,2,3,1,1
2,3,40,2,3,1,1
2,3,41,2,3,1,1
2,3,48,2,3,1,1
2,3,57,2,3,1,1
2,3,60,2,3,1,1
2,3,61,2,3,1,1
2,3,64,2,3,1,1
2,3,65,2,3,1,1
2,3,66,2,3,1,1
2,3,81,2,3,1,1
2,3,89,2,3,1,1
2,3,91,2,3,1,1
2,3,104,3,3,1,1
2,3,106,2,3,1,1
2,3,107,2,3,1,1
2,3,108,2,3,1,1
3,2,66,2,3,1,1
4,3,1,2,3,1,1
4,3,2,2,3,1,1
4,3,3,2,3,1,1
4,3,5,2,3,1,1
4,3,6,2,3,1,1
4,3,8,2,3,1,1
4,3,9,2,3,1,1
4,3,10,2,3,1,1
4,3,11,2,3,1,1
4,3,19,2,3,1,1
4,3,20,2,3,1,1
4,3,21,2,3,1,1
4,3,23,2,3,1,1
4,3,24,2,3,1,1
4,3,25,2,3,1,1
4,3,27,2,3,1,1
4,3,28,2,3,1,1
4,3,31,2,3,1,1
4,3,33,3,3,1,1
4,3,34,2,3,1,1
4,3,35,2,3,1,1
4,3,39,2,3,1,1
4,3,40,2,3,1,1
4,3,41,2,3,1,1
4,3,48,2,3,1,1
4,3,57,2,3,1,1
4,3,60,2,3,1,1
4,3,61,2,3,1,1
4,3,64,2,3,1,1
4,3,65,2,3,1,1
4,3,66,2,3,1,1
4,3,81,2,3,1,1
4,3,89,2,3,1,1
4,3,91,2,3,1,1
4,3,104,3,3,1,1
4,3,106,2,3,1,1
4,3,107,2,3,1,1
4,3,108,2,3,1,1
5,2,3,2,3,1,1
5,2,66,2,3,1,1
